st,g1,b1,b3,qntl,toe_SV,para_SV,sd_SV,mean.se_SV
b,0,0.4,-0.6,0.01,0.0506,-0.000767067,0.068685385,0.06816883
b,0,0.4,-0.6,0.2,0.0481,0.000343521,0.062158674,0.062487487
b,0,0.4,-0.7,0.01,0.0513,-0.000765586,0.071599339,0.071106204
b,0,0.4,-0.7,0.2,0.0458,0.000386949,0.062523247,0.062695899
b,0,0.4,0.1,0.01,0.0475,-0.000225665,0.06917321,0.069259575
b,0,0.4,0.1,0.2,0.0508,7.89E-05,0.063497301,0.06344728
b,0,0.4,0.2,0.01,0.051,-0.000781272,0.072886362,0.072561399
b,0,0.4,0.2,0.2,0.0482,-0.000218715,0.063839464,0.063941283
b,0,0.4,0.3,0.01,0.0517,-0.000252993,0.077118841,0.076824662
b,0,0.4,0.3,0.2,0.0493,-0.000260948,0.064550533,0.064534553
b,0,0.4,0.4,0.01,0.0483,-0.00032208,0.082411951,0.082204899
b,0,0.4,0.4,0.2,0.0514,-0.000196292,0.0651153,0.065231219
b,0,0.4,0.5,0.01,0.0497,-0.000386325,0.088877462,0.088871694
b,0,0.4,0.5,0.2,0.0516,-0.000286629,0.065938665,0.066042177
b,0,0.4,0.6,0.01,0.046,0.00031548,0.0960712,0.096999044
b,0,0.4,0.6,0.2,0.0505,-0.000191166,0.066556853,0.066983774
b,0,0.4,0.7,0.01,0.0481,1.37E-05,0.106187309,0.106869021
b,0,0.4,0.7,0.2,0.0504,-0.000269267,0.067685204,0.068059166
b,0,0.4,0,0.01,0.0496,-0.000325852,0.066962854,0.066845578
b,0,0.4,0,0.2,0.0514,6.40E-05,0.062975326,0.063049463
c,-0.15,-0.4,-0.1,0.01,0.8409,-0.149379501,0.050877385,0.050183708
c,-0.15,-0.4,-0.1,0.2,0.874,-0.150393925,0.048492796,0.048453093
c,-0.15,-0.4,-0.2,0.01,0.8517,-0.148941145,0.050038523,0.049554463
c,-0.15,-0.4,-0.2,0.2,0.8759,-0.150163105,0.048292564,0.04816316
