"rand-number","p-value","par.est","var.est"
67,0.47950936423788,-0.0319517654574572,0.00204191652870605
68,0.634033137945281,0.0223540941459648,0.00220492905942725
69,0.0170465923024316,0.111977831956327,0.00220308874023413
70,0.383920929729007,0.0393306059895546,0.00204046700932716
71,0.013761426396522,0.118114144922416,0.00229891497428402
72,0.004516624354859,0.137591813178903,0.00234780728249906
73,0.922866760084537,-0.00449227865546776,0.00215265318234407
74,0.857538079399298,0.0081682770113999,0.00207056388258165
75,0.80204564535642,0.0119316439097073,0.00226511386521183
76,0.608919106344528,0.0240309160770356,0.00220622992458545
77,0.581257818648947,-0.0261177713816568,0.00224235837164945
78,0.991818420677811,-0.000484744977939146,0.00223468980246853
79,0.939060245003661,0.00368131345552274,0.00231866776810784
80,0.61839897060695,-0.0236580556729864,0.00225573936085056
81,0.214246201905091,0.0584543040513509,0.00221517513921807
82,0.247859877976091,0.0508005490418284,0.00193263315269759
83,0.235591340120229,0.0563688057759489,0.00225866007311191
84,0.671706795570791,0.0213331056705872,0.00253380123959709
85,0.707901892319658,0.0171212517708289,0.00208814511419298
86,0.552315918022244,-0.0269206671837792,0.00205196467465131
87,0.842922166526606,-0.00889876004948854,0.00201669305898892
88,0.577934656120323,-0.0262273636498725,0.00222192132472957
89,0.50343020465761,-0.0309902786568868,0.00214519057416112
90,0.10093151672228,0.0769706491789138,0.00220178527979443
91,0.50349159009126,-0.0323150182964625,0.00233318224931182
92,0.202559228111745,-0.0565277896187453,0.00196781698179843
93,0.396508592845697,-0.0382813361360204,0.00203850772623002
94,0.710139918228886,-0.0181321484510062,0.0023800592414918
95,0.731129959164916,-0.0158510452223164,0.00212790291450062
96,0.0366138124782096,0.0977150324182106,0.00218580664176166
97,0.701677427449733,0.0184253454152912,0.00231368507019193
98,0.0263584170235158,0.100962461642498,0.0020666445613137
99,0.496171387286777,-0.0302091711695659,0.00197055254085274
100,0.0912809382233846,0.0795436563734625,0.00221879322506262
